"Term","Definition"
"immutable","An object whose value cannot be changed once it is created. Immutable objects include numbers, strings, and tuples. Any “change” creates a new object rather than modifying the original."
"import path","A list of locations (typically directories) searched by the path-based finder to locate modules during an import. This is usually obtained from sys.path, or in the case of subpackages, from the parent package’s path attribute."
"importer","An object that both finds and loads a module. It implements methods to locate a module (finding) and subsequently to load it (loading)."
"importing","The process of making the Python code in one module available to code in another module via the import mechanism."
"interactive","Describes Python’s interactive interpreter, which allows users to enter statements and expressions at a prompt with immediate execution and visible results—ideal for testing and exploration."
"interpreted","Describes Python as an interpreted language where source code is executed directly (typically via an intermediate bytecode) without requiring a separate compilation step into an executable file."
"interpreter shutdown","The phase when the Python interpreter is closing down. During shutdown, resources such as modules and internal objects are gradually released and garbage collection is performed. Code run during shutdown may encounter exceptions if resources have already been deallocated."
"iterable","An object capable of returning its members one at a time, typically by implementing an iter() method. Common examples include lists, strings, and dictionaries."
"iterator","An object representing a stream of data which implements the next() method to return successive items. Iterators are also iterable themselves since iter() returns the iterator object."
"key function","A callable that produces a sort key from an element. It is used with functions like sorted(), min(), and max() to control the order in which elements are compared or grouped (for example, str.lower() for case-insensitive sorting)."
"keyword argument","An argument that is passed to a function using an identifier (e.g. name=value) rather than by position. See also argument."
"lambda","An anonymous inline function defined with the lambda keyword. It consists of a single expression and returns its value when called."
"LBYL","Acronym for “Look Before You Leap” – a programming style that tests for preconditions explicitly before making a call or performing an operation, in contrast to the EAFP approach."
"lexical analyzer","The formal term for the tokenizer that processes Python source code into tokens (such as names, numbers, and symbols) for further compilation. See also token."
"list","A built-in Python sequence type that stores a mutable, ordered collection of items. Lists provide O(1) access by index and are similar to arrays in other languages."
"list comprehension","A concise syntax for creating lists from iterables. It uses a for clause (and optionally an if condition) inside square brackets to generate list elements in a compact expression."
"loader","An object whose responsibility is to load a module once its location has been determined. Loaders define methods such as exec_module() and create_module(), and are typically returned by finders."
"locale encoding","On Unix (the encoding of the LC_CTYPE locale) or Windows (the ANSI code page), this encoding is used by Python to decode input bytes and encode Unicode output. It can be retrieved or set via locale methods."
"Loop Dictionary Items","How to loop through the items in a dictionary"
"Loop List Items","How to loop through the items in a tuple"
"Loop Set Items","How to loop through the items in a set"
"Loop Through a range","How to loop through a range of values"
"Loop Through a String","How to loop through a string"
"Loop Through an Iterator","How to loop through the elements of an iterator"
"Loop Through List Items","How to loop through the items in a list"
"Looping Array Elements","How to loop through array elements"
"magic method","An informal term for special methods in Python that have names starting and ending with double underscores. These methods allow customization of operations like addition, attribute access, and more."
"mapping","A container object (e.g. dict) that supports arbitrary key lookups, typically defined by implementing the methods specified in collections.abc.Mapping or MutableMapping."
"Membership Operators","Membership operators are used to test if a sequence is present in an object"
"meta path finder","A finder, typically placed on sys.meta_path, which searches for modules to import using meta path hooks rather than file system paths. See also importlib.abc.MetaPathFinder."
"Metacharacters in RegEx","Metacharacters are characters with a special meaning"
"metaclass","The “class of a class” that defines how a class is constructed. Custom metaclasses can intercept and modify class creation, offering solutions for logging, attribute tracking, singletons, and more."
"method","A function defined within a class that, when accessed through an instance, automatically receives the instance as its first argument (usually named self)."
"method resolution order","(MRO) The order in which base classes are searched for a member during attribute lookup. It is determined by an algorithm that ensures consistent and predictable inheritance behavior."
"Modify Object Properties","How to modify properties of an object"
"module","An organizational unit of Python code that consists of a file (or several files) containing Python definitions and statements. Modules have a namespace and are loaded via the import mechanism."
"module spec","A namespace containing the metadata required for loading a module. Instances of module spec are created as part of the import process and contain import-related information."
"MRO","Abbreviation for Method Resolution Order. See “method resolution order.”"
"Multiline Comments","How to insert comments on multiple lines"
"Multiline Strings","How to create a multiline string"
"mutable","An object whose state or contents can be changed after it is created. Mutable types include lists and dictionaries (in contrast to immutable types like tuples or strings)."
"named tuple","A tuple subclass where elements can be accessed both by position (as in a regular tuple) and by name. Named tuples are often used to create lightweight objects with readable field names."
"namespace","A container where names (identifiers) are mapped to objects. In Python, namespaces are implemented as dictionaries (e.g., globals, locals, builtins) and help prevent naming conflicts."
"namespace package","A package that serves solely as a container for subpackages and lacks a physical representation (for example, no init.py file). They allow multiple separately installable packages to share a common parent."
"Negative Indexing on a String","How to use negative indexing when accessing a string"
"Nested Dictionaries","A dictionary within a dictionary"
"Nested If","How to write an if statement inside an if statement"
"Nested Loops","How to write a loop inside a loop"
"nested scope","The situation in which a function defined within another function can refer to variables from the enclosing (nonlocal) scope. In nested scopes, reading is allowed by default, but writing requires explicit declarations (nonlocal)."
"new-style class","The term formerly used to refer to classes defined in Python 2 that inherit from object. In modern Python versions all classes are “new-style” classes with support for descriptors, properties, slots, and more."
"Numbers","There are three numeric types in Python"
"object","The base type for all Python data types. Every Python object has an identity, type, and value, and the object type is the ultimate ancestor of all new-style classes."
"Object Methods","Methods in objects are functions that belong to the object"
"Operators","Use operators to perform operations in Python"
"optimized scope","A scope in which local variable names are statically known to the compiler, allowing the optimized read and write access to those variables. This applies to functions, generators, and comprehensions."
"Output Variables","Use the print statement to output variables"
"package","A Python module that can contain submodules or subpackages. Regular packages contain an init.py file, as opposed to namespace packages which do not."
"parameter","An identifier in a function or method definition that specifies a value (or values) the function may receive. Parameters come in several types including positional-only, keyword-only, var-positional, and var-keyword."
"Parse JSON","How to parse JSON code in Python"
"Pascal Case","Pascal Case Variable Names"
"Passing a List as an Argument","How to pass a list as an argument"
"path based finder","One of the default finders that searches an import path (a list such as sys.path) to locate modules during import."
"path entry","A single location (directory or other location) on the import path that is searched by the path-based finder when importing modules."
"path entry finder","A finder obtained from a callable on sys.path_hooks. It knows how to locate modules given a specific path entry."
"path entry hook","A callable on sys.path_hooks that returns a path entry finder if it can handle a specific path entry."
"path-like object","An object representing a file system path. It can be a str, bytes, or any object implementing the os.PathLike protocol, convertible to a file system path with os.fspath(). Introduced by PEP 519."
"PEP","Abbreviation for Python Enhancement Proposal—a design document that provides information or describes a new feature, process, or environment change in Python. (See also PEP 1.)"
"PIP Packages","How to download and install a package with PIP"
"PIP Remove Package","How to remove a package with PIP"
"portion","A set of files in a single directory (or in a zip file) that collectively contribute to a namespace package, as defined by PEP 420."
"positional argument","An argument passed to a function by position rather than by keyword. (See argument for further details.)"
"provisional API","An API that has been deliberately excluded from the guarantees of backward compatibility. Although it remains documented and testable, it may be changed in backward-incompatible ways if fundamental issues are found."
"provisional package","A package that is designated as provisional (related to provisional APIs) and is not covered by the usual backward compatibility guarantees."
"Python 3000","A nickname (or “Py3k”) for the Python 3.x release series, coined when the release was perceived as a major break from Python 2.x."
"Pythonic","An adjective describing code or ideas that follow Python’s idioms and design philosophies. Pythonic code favors readability, simplicity, and the use of built-in language features over more verbose or foreign constructs."
"qualified name","A dotted name that shows the path from a module’s global scope to the class, function, or method defined within it. For modules, it represents the full import path."
"raise","How to raise an exception in Python"
"Random Number","How to create a random number"
"reference count","The number of references to an object in memory. When an object’s reference count drops to zero, it is deallocated."
"RegEx Functions","The re module has a set of functions"
"RegEx Match Object","The Match Object is an object containing information about the search and the result"
"RegEx Module","How to import the regex module"
"RegEx Sets","A set is a set of characters inside a pair of square brackets with a special meaning"
"RegEx Special Sequences","A backslash followed by a character has a special meaning"
"regular package","A traditional Python package that is a directory containing an init.py file. See also namespace package."
"Remove Array Element","How to remove elements from an array"
"Remove Dictionary Items","How to remove dictionary items"
"Remove List Items","How to remove list items"
"Remove Set Items","How to remove set items"
"Remove Tuple Items","How to remove tuple items"
"Renaming a Module","How to rename a module"
"REPL","Acronym for “read–eval–print loop”, describing the interactive Python interpreter where expressions are read, evaluated, and their results printed immediately."
"Return Boolean Value","Functions that return a Boolean value"
"self","The self parameter refers to the current instance of the class"
"sequence","An iterable that supports efficient element access by integer indices (via getitem()) and has a defined length (via len()). Common sequence types include list, str, tuple, and bytes."
"Set","A set is an unordered, and unchangeable, collection"
"set comprehension","A concise syntax for creating sets. Enclosed in curly braces with a for clause (and optionally an if condition), it generates a set of elements much like list comprehensions create lists."
"Set Length","How to determine the length of a set"
"Setting Data Type","How to set the data type of an object"
"Shorthand If","How to write an if statement in one line"
"Shorthand If Else","How to write an if...else statement in one line"
"single dispatch","A form of generic function dispatch in which the implementation is chosen based solely on the type of one argument. See also generic function and functools.singledispatch."
"slice","An object that represents a portion of a sequence. It is created using colon-separated indices inside square brackets (e.g., a[1:3:5]) and is used internally to perform subscript operations."
"Slice a String","How to slice a string"
"slots","A declaration inside a class that saves memory by pre-declaring space for instance attributes and eliminating instance dictionaries. Though popular, it is best reserved for rare cases where many instances are created in memory-critical applications."
"Snake Case","Snake Case Variable Names"
"soft deprecated","Describes an API that is discouraged for use in new code but remains supported for existing code without emitting deprecation warnings. It is documented as deprecated but will not be immediately removed. (See PEP 387.)"
"Sort JSON","How to sort JSON"
"special method","A method that is invoked implicitly by Python for certain operations, such as arithmetic or attribute access. Special methods have names that begin and end with double underscores."
"Specify a Variable Type","How to specify a certain data type for a variable"
"statement","A single piece of code that performs an action (such as assignment or control flow). In contrast to expressions, which evaluate to values, statements are executed for their side effects."
"static type checker","An external tool that inspects Python code to verify types and detect potential type mismatches. They leverage type hints and annotations to perform these validations without executing the code."
"StopIteration","How to stop an iterator"
"String Concatenation","How to combine strings"
"String Length","How to get the length of a string"
"String Literals","How to create string literals"
"Strings are Arrays","Strings in Python are arrays of bytes representing Unicode characters"
"strong reference","In Python’s C API, a strong reference is one that the code owns and must later release with Py_DECREF() or similar methods. It contrasts with a borrowed reference, which does not imply ownership."
"super Function","The super() function makes the child class inherit the parent class"
"text encoding","The process or scheme by which a Unicode string is transformed into a sequence of bytes (encoding) and vice-versa (decoding). Common text encodings include UTF-8, ASCII, and others."
"text file","A file object that reads and writes string data (str objects). Although the underlying data might be binary, text files handle encoding and decoding automatically so that the programmer deals with Unicode strings."
"The Class __init__() Function","The __init__() function is executed when the class is initiated"
"The pass Keyword in If","Use the pass keyword inside empty if statements"
"The pass Statement in Functions","Use the pass statement in empty functions"
"token","A small, meaningful unit of source code produced by the lexical analyzer (tokenizer). Tokens include names, numbers, strings, operators, and newlines. The token module and tokenize module expose token details in Python."
"triple-quoted string","A string literal defined using three consecutive quotes (either single or double) that allows the string to span multiple lines and include unescaped quotes. It is widely used for multi-line docstrings."
"Try Else","How to use the else keyword in a try statement"
"Try Finally","How to use the finally keyword in a try statement"
"Tuple","A tuple is an ordered, and unchangeable, collection"
"Tuple Length","How to determine the length of a tuple"
"Tuple With One Item","How to create a tuple with only one item"
"type","A built-in function and attribute that returns the type of an object (i.e., what kind of object it is). Every object in Python has a type, which can be accessed through its class attribute or by calling type(obj)."
"type alias","A synonym for a type, created by assigning a type to an identifier. Type aliases improve code clarity, especially in type hints, by replacing complex type expressions with simpler names."
"Type Conversion","How to convert from one number type to another"
"type hint","An annotation that specifies the expected type for a variable, function parameter, or return value. Type hints are optional and used by static type checkers and IDEs for code completion and refactoring."
"universal newlines","A way of processing text files in which several newline conventions (Unix \n, Windows \r\n, and old Mac \r) are recognized and normalized. This allows cross-platform file handling without manual conversion."
"variable annotation","An annotation attached to a variable or class attribute that specifies its expected type. In class or global contexts, these annotations are stored in the annotations attribute, while local variable annotations are not available at runtime."
"Variable Names","How to name your variables"
"Variables in Modules","How to use variables in a module"
"virtual environment","A self-contained, isolated Python runtime environment that allows separate package installations without interfering with each other or with the system-wide Python installation. See also venv."
"virtual machine","In the context of Python, the virtual machine is the component that executes bytecode produced by the compiler. It is entirely implemented in software and abstracts away details of the underlying hardware."
"What is an Array","Arrays are variables that can hold more than one value"
"While","How to write a while loop"
"While Break","How to break a while loop"
"While Continue","How to stop the current iteration and continue with the next"
"While Else","How to use an else statement in a while loop"
"Why Use Lambda Functions","Learn when to use a lambda function or not"
"Zen of Python","A collection of aphorisms that capture the philosophy of Python, accessible by running “import this” in the interactive interpreter. It outlines design principles such as simplicity and readability."
